neighbors,id,roc_auc,accuracy,distancia
5,1,0.7688215939786894,0.7127452448704508,chebyshev
5,2,0.7696042465126173,0.7166392092257001,chebyshev
5,3,0.7775251135392779,0.7208327093005841,chebyshev
5,4,0.7726262434057678,0.7142429234686236,chebyshev
5,5,0.774616857358033,0.7193350307024112,chebyshev
11,1,0.7935015321022957,0.7362587988617643,chebyshev
11,2,0.7949042924326774,0.7314662273476112,chebyshev
11,3,0.7935015321022957,0.7362587988617643,chebyshev
11,4,0.7949042924326774,0.7314662273476112,chebyshev
11,5,0.7935015321022957,0.7362587988617643,chebyshev
17,1,0.8016443855827496,0.7362587988617643,chebyshev
17,2,0.7993230333838167,0.7349108881234088,chebyshev
17,3,0.8016443855827496,0.7362587988617643,chebyshev
17,4,0.7993230333838167,0.7349108881234088,chebyshev
17,5,0.8016443855827496,0.7362587988617643,chebyshev
23,1,0.800736163734282,0.7406020667964655,chebyshev
23,2,0.8028060608581192,0.7382057810393889,chebyshev
23,3,0.800736163734282,0.7406020667964655,chebyshev
23,4,0.8028060608581192,0.7382057810393889,chebyshev
23,5,0.800736163734282,0.7406020667964655,chebyshev
30,1,0.8043199430779565,0.7362587988617643,chebyshev
30,2,0.8032288877603504,0.7365583345813989,chebyshev
30,3,0.8043199430779565,0.7362587988617643,chebyshev
30,4,0.8032288877603504,0.7365583345813989,chebyshev
30,5,0.8043199430779565,0.7362587988617643,chebyshev
5,1,0.7883666921159513,0.7322150666466977,euclidean
5,2,0.7898386788670252,0.7341620488243223,euclidean
5,3,0.7883666921159513,0.7322150666466977,euclidean
5,4,0.7898386788670252,0.7341620488243223,euclidean
5,5,0.7883666921159513,0.7322150666466977,euclidean
11,1,0.8106797427489479,0.7465927811891568,euclidean
11,2,0.8137877381627879,0.7512355848434926,euclidean
11,3,0.8106797427489479,0.7465927811891568,euclidean
11,4,0.8137877381627879,0.7512355848434926,euclidean
11,5,0.8106797427489479,0.7465927811891568,euclidean
17,1,0.8189343128629976,0.7548300134791074,euclidean
17,2,0.8178222745303922,0.7524337277220309,euclidean
17,3,0.8189343128629976,0.7548300134791074,euclidean
17,4,0.8178222745303922,0.7524337277220309,euclidean
17,5,0.8189343128629976,0.7548300134791074,euclidean
23,1,0.8226920475317787,0.7590235135539913,euclidean
23,2,0.8221205584785023,0.758873745694174,euclidean
23,3,0.8226920475317787,0.7590235135539913,euclidean
23,4,0.8221205584785023,0.758873745694174,euclidean
23,5,0.8226920475317787,0.7590235135539913,euclidean
30,1,0.8227786502587685,0.7545304777594728,euclidean
30,2,0.8244666304062302,0.7554290849183766,euclidean
30,3,0.8227786502587685,0.7545304777594728,euclidean
30,4,0.8244666304062302,0.7554290849183766,euclidean
30,5,0.8227786502587685,0.7545304777594728,euclidean
5,1,0.7790438623450132,0.7232289950576606,hamming
5,2,0.787189248980118,0.7253257450951026,hamming
5,3,0.7790438623450132,0.7232289950576606,hamming
5,4,0.787189248980118,0.7253257450951026,hamming
5,5,0.7790438623450132,0.7232289950576606,hamming
11,1,0.8148532050482378,0.7488392990864161,hamming
11,2,0.8077295313527645,0.7404522989366482,hamming
11,3,0.8148532050482378,0.7488392990864161,hamming
11,4,0.8077295313527645,0.7404522989366482,hamming
11,5,0.8148532050482378,0.7488392990864161,hamming
17,1,0.8188932537044069,0.7497379062453198,hamming
17,2,0.8223368382817418,0.750936049123858,hamming
17,3,0.8188932537044069,0.7497379062453198,hamming
17,4,0.8223368382817418,0.750936049123858,hamming
17,5,0.8188932537044069,0.7497379062453198,hamming
23,1,0.8254268592435514,0.7560281563576456,hamming
23,2,0.82411289310571,0.7524337277220309,hamming
23,3,0.8254268592435514,0.7560281563576456,hamming
23,4,0.82411289310571,0.7524337277220309,hamming
23,5,0.8254268592435514,0.7560281563576456,hamming
30,1,0.8266179959429361,0.7513853527033099,hamming
30,2,0.8287481443355362,0.7582746742549049,hamming
30,3,0.8266179959429361,0.7513853527033099,hamming
30,4,0.8287481443355362,0.7582746742549049,hamming
30,5,0.8266179959429361,0.7513853527033099,hamming
5,1,0.7909319908339247,0.7367081024412161,pearson_correlation
5,2,0.7915728873479704,0.7423992811142729,pearson_correlation
5,3,0.7909319908339247,0.7367081024412161,pearson_correlation
5,4,0.7915728873479704,0.7423992811142729,pearson_correlation
5,5,0.7909319908339247,0.7367081024412161,pearson_correlation
11,1,0.8127034135762026,0.7501872098247716,pearson_correlation
11,2,0.8113980539511594,0.7465927811891568,pearson_correlation
11,3,0.8127034135762026,0.7501872098247716,pearson_correlation
11,4,0.8113980539511594,0.7465927811891568,pearson_correlation
11,5,0.8127034135762026,0.7501872098247716,pearson_correlation
17,1,0.8177900428605911,0.7518346562827617,pearson_correlation
17,2,0.8178527916305007,0.7495881383855024,pearson_correlation
17,3,0.8177900428605911,0.7518346562827617,pearson_correlation
17,4,0.8178527916305007,0.7495881383855024,pearson_correlation
17,5,0.8177900428605911,0.7518346562827617,pearson_correlation
23,1,0.8216176925723538,0.7560281563576456,pearson_correlation
23,2,0.8198762041847434,0.7561779242174629,pearson_correlation
23,3,0.8216176925723538,0.7560281563576456,pearson_correlation
23,4,0.8198762041847434,0.7561779242174629,pearson_correlation
23,5,0.8216176925723538,0.7560281563576456,pearson_correlation
30,1,0.8220951934431474,0.7539314063202037,pearson_correlation
30,2,0.8235653857226423,0.7555788527781938,pearson_correlation
30,3,0.8220951934431474,0.7539314063202037,pearson_correlation
30,4,0.8235653857226423,0.7555788527781938,pearson_correlation
30,5,0.8220951934431474,0.7539314063202037,pearson_correlation
